ID,STATION
567,OOSTENDE-T.W.
568,OOSTENDE-ZEEHAVEN
569,OOSTKAMP
570,OPWIJK
571,OTTIGNIES
572,OTTIGNIES-RELAIS
573,OUD-HEVERLEE
574,OUDEGEM
575,OUDENAARDE
576,OUGREE
577,OVERPELT
578,PALISEUL
579,PAPIGNIES
580,PECROT
581,PEPINSTER
582,PEPINSTER-CITE
583,PERUWELZ
584,PHILIPPEVILLE
585,PHILIPPEVILLE-642
586,PIETON
587,POIX-SAINT-HUBERT
588,PONT-A-CELLES
589,PONT-DE-SERAING
590,POPERINGE
591,POULSEUR
592,PROFONDSART
593,PRY
594,PUURS
595,QUAREGNON
596,QUEVY
597,QUIEVRAIN
598,REBAIX
599,REMICOURT
600,RHISNES
601,RHISNES-GARAGE
602,RHISNES-SAS
603,RIVAGE
604,RIVAGE-MARCHANDISES
605,RIXENSART
606,ROCHEFORT-JEMELLE
607,RODANGE
608,ROESELARE
609,RONET
610,RONET-FORMATION
611,RONET-P.E.
612,RONSE
613,ROTTERDAM CENTRAAL
614,ROUX
615,RUISBROEK
616,RUISBROEK-BUNDEL
617,RUISBROEK-SAUVEGARDE
618,SAINT-DENIS-BOVESSE
619,SAINT-GHISLAIN
620,SAINT-VINCENT-BELLEFONTAINE
621,SART-BERNARD
622,SCHAARBEEK
623,SCHAARBEEK-BUNDEL L
624,SCHAARBEEK-BUNDEL M
625,SCHAARBEEK-BUNDEL P
626,SCHAARBEEK-BUNDEL V
627,SCHAARBEEK-CARWASH
628,SCHAARBEEK-D.O.P.
629,SCHAARBEEK-DOODSPOOR 814
630,SCHAARBEEK-GROEP G
631,SCHAARBEEK-GROEP R
632,SCHAARBEEK-JOSAPHAT
633,SCHAARBEEK-L.C.I.
634,SCHAARBEEK-NOS
635,SCHAARBEEK-P.C.I.
636,SCHAARBEEK-PERRON P.C.I.
637,SCHAARBEEK-PERRON T.W./D.-NOS
638,SCHAARBEEK-PERRON T.W./D.-ZOS
639,SCHAARBEEK-PERRON VORMING
640,SCHAARBEEK-SAS K/C
641,SCHAARBEEK-SPOOR LZ
642,SCHAARBEEK-T.W./D.
643,SCHAARBEEK-T.W./E.
644,SCHAARBEEK-VORMING
645,SCHAARBEEK-WASINSTALLATIE
646,SCHELDEWINDEKE
647,SCHELLE
648,SCHELLEBELLE
649,SCHENDELBEKE
650,SCHOONAARDE
651,SCHULEN
652,SCHULEN-SAS
653,SCHULEN-WIJKSPOOR
654,SCLAIGNEAUX
655,SCLESSIN
656,SERAING
657,SERSKAMP
658,SILLY
659,SIMONIS
660,SINAAI
661,SINT-AGATHA-BERCHEM
662,SINT-DENIJS-BOEKEL
663,SINT-GENESIUS-RODE
664,SINT-GILLIS(DENDERMONDE)
665,SINT-JOB
666,SINT-JORIS-WEERT
667,SINT-KATELIJNE-WAVER
668,SINT-MARIABURG
669,SINT-MARTENS-BODEGEM
670,SINT-NIKLAAS
671,SINT-NIKLAAS-OOST
672,SINT-TRUIDEN
673,SLEIDINGE
674,SOIGNIES
675,SOLRE-SUR-SAMBRE
676,SPA
677,SPA-GERONSTERE
678,STABROEK-SPOREN 027/028
679,STATTE
680,STOCKEM
681,STOCKEM-A.T.
682,STOCKEM-FAISCEAU A
683,STOUMONT
684,SY
685,TAMINES
686,TEMSE
687,TERHAGEN
688,TERNAT
689,TERTRE
690,TESTELT
691,THEUX
692,THIEU
693,THUIN
694,THULIN
695,THURN EN TAXIS
696,TIELEN
697,TIELT
698,TIENEN
699,TILFF
700,TILLEUR
701,TILLY
702,TILLY-GARAGE
703,TOLLEMBEEK
704,TONGEREN
705,TORHOUT
706,TOURNAI
707,TROIS-PONTS
708,TROISVIERGES
709,TROOZ
710,TUBIZE
711,TURNHOUT
712,TURNHOUT-BUNDEL
713,UKKEL-KALEVOET
714,UKKEL-STALLE
715,VELTEM
716,VERTRIJK
717,VERTRIJK-WIJKSPOOR
718,VERVIERS-CENTRAL
719,VERVIERS-EST
720,VERVIERS-PALAIS
721,VEURNE
722,VIANE-MOERBEKE
723,VICHTE
724,VIELSALM
725,VIJFHUIZEN
726,VILLE-POMMEROEUL
727,VILLERS-LA-VILLE
728,VILVOORDE
729,VIRTON
730,VISE
731,VISE-HAUT
732,VIVILLE
733,VOROUX
734,VOROUX-BASE TRAVAUX LGV
735,VORST-BUNDEL M
736,VORST-CARWASH
737,VORST-OOST
738,VORST-RIJTUIGEN
739,VORST-RIJTUIGEN-DIENSTPERRON
740,VORST-RIJTUIGEN-PERRON TW-HST
741,VORST-ZUID
742,VORST-ZUID-SPOREN 920/926
743,WAARSCHOOT
744,WALCOURT
745,WAREGEM
746,WAREMME
747,WATERLOO
748,WATERMAAL
749,WAVRE
750,WEERDE
751,WELKENRAEDT
752,WELLE
753,WERVIK
754,WESPELAAR-TILDONK
755,WETTEREN
756,WEVELGEM
757,WEZEMAAL
758,WICHELEN
759,WIJGMAAL
760,WILDERT
761,WILLEBROEK
762,WOLFSTEE
763,WONDELGEM
764,WONDELGEM-BUNDEL
765,YVES-GOMEZEE
766,YVOIR
767,ZANDBERGEN
768,ZAVENTEM
769,ZEDELGEM
770,ZEDELGEM-GOEDEREN
771,ZEEBRUGGE-BUNDEL PELIKAAN
772,ZEEBRUGGE-BUNDEL RAMSKAPELLE
773,ZEEBRUGGE-BUNDEL ZWANKENDAMME
774,ZEEBRUGGE-DORP
775,ZEEBRUGGE-STRAND
776,ZEEBRUGGE-VOORHAVEN-WEST
777,ZEEBRUGGE-VORMING
778,ZELE
779,ZELLIK
780,ZELZATE
781,ZELZATE-RIEME
782,ZICHEM
783,ZINGEM
784,ZOLDER
785,ZOLDER-KRUISSPOREN
786,ZONHOVEN
787,ZOTTEGEM
788,ZWANKENDAMME
789,ZWIJNDRECHT
790,ZWIJNDRECHT-WIJKSPOREN
