ID,STATION,REGION
488,Maastricht,Unknown region
489,Machelen,Vlaanderen
490,Maffle,Wallonie
491,Malderen,Vlaanderen
492,Manage,Wallonie
493,Marbehan,Wallonie
494,Marche-En-Famenne,Wallonie
495,Marche-Les-Dames,Wallonie
496,Marche-Les-Dames-Marchandises,Unknown region
497,Marche-Lez-Ecaussinnes,Wallonie
498,Marchienne-Au-Pont,Wallonie
499,Marchienne-Zone,Wallonie
500,Marcinelle,Wallonie
501,Maria-Aalter,Vlaanderen
502,Mariembourg,Wallonie
503,Marloie,Wallonie
504,Marne-La-Vallee-Chessy,Unknown region
505,Marseille-Saint-Charles,Unknown region
506,Masnuy-Saint-Pierre,Wallonie
507,Maubeuge,Unknown region
508,Maubray,Wallonie
509,Mazy,Wallonie
510,Mechelen,Vlaanderen
511,Mechelen-C.W.,Vlaanderen
512,Mechelen-Nekkerspoel,Vlaanderen
513,Meiser,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
514,Melkouwen,Vlaanderen
515,Melle,Unknown region
516,Melle-T.W.,Vlaanderen
517,Melreux-Hotton,Wallonie
518,Melsele,Vlaanderen
519,Menen,Vlaanderen
520,Merchtem,Vlaanderen
521,Merelbeke,Vlaanderen
522,Merelbeke-Centraal,Vlaanderen
523,Merelbeke-Sas T.W.,Unknown region
524,Merelbeke-T.W.,Unknown region
525,Merode,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
526,Mery,Unknown region
527,Messancy,Wallonie
528,Mevergnies-Attre,Wallonie
529,Milmort,Wallonie
530,Moensberg,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
531,Moeskroen,Wallonie
532,Mol,Unknown region
533,Mollem,Vlaanderen
534,Momalle,Wallonie
535,Monceau-Chargement Gasoil,Unknown region
536,Monceau-Formation,Unknown region
537,Monceau-Reception,Unknown region
538,Mons,Wallonie
539,Mons-Aviation,Wallonie
540,Mont-Saint-Guibert,Wallonie
541,Montzen,Wallonie
542,Montzen-Est,Unknown region
543,Montzen-Installation Gasoil,Unknown region
544,Moortsele,Vlaanderen
545,Morlanwelz,Wallonie
546,Mortsel,Vlaanderen
547,Mortsel-Deurnesteenweg,Unknown region
548,Mortsel-Liersesteenweg,Vlaanderen
549,Mortsel-Oude God,Vlaanderen
550,Moustier,Unknown region
551,Moustier-Garage,Unknown region
552,Mouterij,Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest
553,Muizen,Vlaanderen
554,Muizen-Goederen,Unknown region
555,Munkzwalm,Vlaanderen
556,Nameche,Wallonie
557,Namur,Wallonie
558,Namur-Herbatte,Wallonie
559,Naninne,Wallonie
